horizon,target_col,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,best_iteration
5,target_water_level_t_plus_5,0.48853382282257085,0.5849999969178626,-0.2910830410541827,0.3731635480244955,0.454927219433965,-2.981752219433174,
10,target_water_level_t_plus_10,0.5266081608136495,0.5970454997341921,-0.35484383314892587,0.690846535841624,0.731957638014005,-2.6397151112234627,
15,target_water_level_t_plus_15,0.3663441902081172,0.4155193282259432,-0.02827101893502415,0.8579516136964163,0.9260454848374419,-2.802146768503029,
20,target_water_level_t_plus_20,0.17095733324686688,0.19999248461894858,0.6591409691077605,0.6230565565745035,0.6391183664876809,-8.915486027074834,
25,target_water_level_t_plus_25,0.3002065243005753,0.344907340557209,0.4320667193220912,0.3930799721399943,0.4407865984389679,-0.19387587948215756,
30,target_water_level_t_plus_30,0.7539894131978352,0.831556941169165,-1.360150878677524,0.6124077237764994,0.6365180057005524,-7.038252296932351,
35,target_water_level_t_plus_35,0.6552245825767516,0.705729776726481,-0.963627285217141,0.6384023105939229,0.67584459324119,-3.1231242699106225,
40,target_water_level_t_plus_40,0.39912163967291514,0.4597631851379347,-0.12531749389094005,0.5111864621162415,0.5598072611790764,-2.245505644326968,
45,target_water_level_t_plus_45,0.27589226802984873,0.3191778484139481,0.43055066723864666,0.28216214284896846,0.2893915472643591,-1.2085176333280083,
50,target_water_level_t_plus_50,0.2220246366421382,0.257073762161319,0.5732831016859069,0.20214739832878117,0.25546406264327937,0.5758480553361939,
55,target_water_level_t_plus_55,0.5184426259279251,0.5568071164009949,-1.501877610726147,0.17116550922393806,0.24340214771812538,-0.15984315328185916,
60,target_water_level_t_plus_60,0.26231927643617,0.33128629215797056,0.20813036110267857,0.23716246058146162,0.287831282858872,0.2937083845251338,
65,target_water_level_t_plus_65,0.19106633115609492,0.23961918235378213,0.6657054605238062,0.25430380077362064,0.2996941195500382,-0.9758116304647164,
70,target_water_level_t_plus_70,0.24489084658622748,0.2744875075706703,0.5483811287300646,0.4241871663570404,0.43632673234146735,-0.9739497358287377,
75,target_water_level_t_plus_75,0.15525852530797324,0.18203647753974322,0.7430439065140078,0.5651885652542114,0.6490371327797207,-1.509233789432734,
